Right_Wrist_X,Right_Wrist_Y,FOREARM_Affected_upper,FOREARM_Affected_lower
-0.69153094,0.58736795,0.2002872325953871,-0.066972871724675
-0.6810008,0.5756705,0.2044560209714222,-0.0518867582352582
-0.68023556,0.5727066,0.207522589345826,-0.0395378320301892
-0.6799506,0.5723632,0.2096020267918159,-0.0296851804683413
-0.6834801,0.5694823,0.2108094223826097,-0.0220878909085877
-0.68651354,0.5679615,0.211259865191425,-0.0165050507098017
-0.6863892,0.5599325,0.2110684442914794,-0.0126957472308563
-0.6847298,0.5516933,0.2103502487559905,-0.010419067830625
-0.6834167,0.5407397,0.2092068374128986,-0.0094297879106481
-0.6838577,0.53837234,0.2077778759454526,-0.0095052967415743
-0.6838592,0.5381583,0.2061686059066289,-0.0103881822211557
-0.68453324,0.53785765,0.1971455526651024,-0.011246026822384
-0.6842962,0.5383328,0.1958334324287161,-0.0054409071610546
-0.6855838,0.53874916,0.187025118689928,-0.0140592870492661
-0.68641907,0.5391003,0.2050667753438103,-0.0164206064868568
-0.68957853,0.5394118,0.2096557327201955,-0.0159239505280489
-0.6898366,0.5404743,0.2083455625967047,-0.0188178199024103
-0.68991244,0.54065114,0.2090657007778839,-0.0174537266412675
-0.690036,0.54109985,0.206944856346963,-0.0190634031354675
-0.6901579,0.5413333,0.2041486583656845,-0.0192851558032742
-0.686884,0.5439288,0.2085236155843575,-0.0188821177797958
-0.6848058,0.5451607,0.2009155061579445,-0.017288095737783
-0.6826176,0.5453592,0.2045542412568263,-0.0148981511135618
-0.6786046,0.54447144,0.204665294752499,-0.0116452911423378
-0.67275834,0.54440576,0.2033279726877144,-0.0103644590121685
-0.67067885,0.5446787,0.1970418016380303,-0.0095049422113392
-0.67084146,0.54621434,0.2005134973238496,-0.0050787461640738
-0.67135316,0.5466185,0.1948310578890659,-0.0056121515759923
-0.6718039,0.5451168,0.1986177549414614,-0.0103073195319777
-0.6709744,0.54141134,0.2000592583185604,-0.0107287494502336
-0.67108727,0.53934616,0.2011643148397888,-0.0098084120788599
-0.67140716,0.5382101,0.1965063716980905,-0.0099016723345435
-0.67276573,0.5380593,0.2032427089365807,-0.0092845340488921
-0.6738575,0.53820616,0.1993746424174698,-0.0127810407931946
-0.67477095,0.5381514,0.2000490085183307,-0.0113337171531766
-0.67568934,0.5380792,0.1997676332673751,-0.0114588228881266
-0.67543566,0.537999,0.2022294379986561,-0.0133941547493155
-0.6749748,0.53767043,0.1976563619720281,-0.0115716517647334
-0.6719166,0.5341758,0.2009910897076801,-0.0142811290407483
-0.66938746,0.5312702,0.2025100495599703,-0.0144998097200715
-0.667082,0.53308445,0.2098157130300763,-0.015072297168389
-0.66655856,0.5333688,0.2031184659148298,-0.0133542214038795
-0.66489244,0.53357655,0.2016668883352748,-0.0136772985749076
-0.66367716,0.5336601,0.1992051031973515,-0.01310989725546
-0.6595567,0.53340924,0.2003359579263057,-0.0125439245233726
-0.6575004,0.53436804,0.199913423307884,-0.0104697229705473
-0.65732247,0.5342135,0.1970867078578753,-0.0089574695153039
-0.6572162,0.5341774,0.2020774509309627,-0.0120973119989696
-0.65871024,0.53440005,0.2023102249480076,-0.0143097419709965
-0.66141915,0.53622186,0.2018174274297559,-0.0152698519609535
-0.6655249,0.53924924,0.1977621211762386,-0.0130926098242381
-0.668272,0.5409278,0.2061359631163397,-0.0159742567662077
-0.66986215,0.542003,0.2009464725290382,-0.0172905564307768
-0.67231625,0.5430162,0.2061494310560274,-0.0173124028590278
-0.6735482,0.5433045,0.2088722738531748,-0.0178693254064379
-0.67351127,0.5433986,0.2074134187467783,-0.0200539073520717
-0.67335385,0.5444428,0.2088082423426917,-0.0192151357106483
-0.6718843,0.5460243,0.2073519518883381,-0.0170184599453939
