Right_Shoulder_X,Right_Shoulder_Y,DELTOID_Affected_upper,DELTOID_Affected_lower
-0.45801693,-0.4998781,0.0126345404074627,-0.0501513295168189
-0.46513793,-0.4980427,0.013417982002874,-0.0496296775452369
-0.4699763,-0.49687248,0.0139989671115127,-0.0492057629123569
-0.4699828,-0.4967328,0.0143888270078425,-0.0488756227622062
-0.47022718,-0.49614695,0.0146099575272567,-0.048628169895415
-0.47018093,-0.49586302,0.0146847545051484,-0.0484523171126134
-0.46956414,-0.49577907,0.0146368701743492,-0.048338063566138
-0.4698432,-0.49575403,0.0144872909962656,-0.0482716133813712
-0.47016102,-0.49571037,0.0142582926628949,-0.0482436368922324
-0.47059307,-0.49578288,0.0139722710096304,-0.048243046899352
-0.47089413,-0.49580702,0.0136516218718652,-0.0482587562033599
-0.47128722,-0.49578747,0.0133187410849923,-0.0482796776048862
-0.47158763,-0.49575004,0.0129998094503877,-0.0482946200488357
-0.4717942,-0.49575186,0.0134130720173093,-0.0475341937863064
-0.47187474,-0.49594456,0.0133418276931032,-0.0474595328012383
-0.4719155,-0.49608037,0.0130252169859296,-0.0475380942202915
-0.47232637,-0.49628443,0.0128632141304553,-0.0468626182895384
-0.4724414,-0.4967509,0.0127616804991086,-0.0479890556679002
-0.47255638,-0.49678057,0.0133896439850229,-0.0476380736887516
-0.47310618,-0.4964529,0.0135030872086194,-0.0481083906252436
-0.47497076,-0.49627993,0.0135374758832778,-0.0479230950339465
-0.47568542,-0.4961506,0.0135142414343299,-0.0477245061867767
-0.47500882,-0.49587855,0.013641142629315,-0.0486790342439734
-0.47476333,-0.4961666,0.0137988022462467,-0.0471225495323254
-0.4753387,-0.4967819,0.0136229631942365,-0.0479627000594857
-0.47524104,-0.49717712,0.0136536313623404,-0.0488420769116334
-0.4749382,-0.49735507,0.0146970179088455,-0.0484453659373799
-0.47474492,-0.49761197,0.0146607273949231,-0.0494119712899728
-0.47431707,-0.49778104,0.0151982040992472,-0.0488181821517946
-0.4742144,-0.49790198,0.0148326959560201,-0.0494753529604518
-0.47436336,-0.49796498,0.0147113199071559,-0.0484932423629186
-0.47415364,-0.49812767,0.0146241900635463,-0.0485177058554258
-0.4741571,-0.49837086,0.0145389822371192,-0.0486855764930726
-0.47412425,-0.49852046,0.0144762411742767,-0.0484592690364362
-0.47377664,-0.4986379,0.0140002708429079,-0.0483354276437891
-0.47363287,-0.4985301,0.0140436689936776,-0.047819383855493
-0.473744,-0.4987087,0.012986824052176,-0.0471592323508842
-0.4739794,-0.49925396,0.0123052624711233,-0.047709636286079
-0.47417486,-0.49995917,0.0127467217831037,-0.0470698493512992
-0.47470132,-0.50071865,0.0141622492083787,-0.0461716958375873
-0.47568172,-0.501238,0.0125933538689502,-0.0463862120058635
-0.47630876,-0.5017562,0.0132760537141042,-0.0493279632579412
-0.47681746,-0.50187963,0.0161401887554176,-0.0483846970220252
-0.47600657,-0.5018722,0.0167379794391521,-0.0524600602603801
-0.47421548,-0.50188076,0.0207073921443996,-0.0528800465688654
-0.47419327,-0.50200266,0.0227664100869197,-0.0564170296732937
-0.47404668,-0.5022823,0.0257957640891455,-0.0584967998605177
-0.4740095,-0.50261,0.027630202783524,-0.0610292341361436
-0.47359052,-0.5024372,0.0307837964895835,-0.0623010289553631
-0.47292334,-0.50268066,0.0300911666454306,-0.064731537838124
-0.47282714,-0.50272936,0.0329743651926616,-0.0647318750251539
-0.47264934,-0.5027803,0.0365477057166023,-0.0654010286074519
-0.4728926,-0.5027177,0.0356626539472566,-0.0691509816005655
-0.4732984,-0.5031331,0.0384756213704002,-0.0695327585079065
-0.47387603,-0.50329614,0.0402686213978953,-0.0720111490964416
-0.47383603,-0.5024997,0.0415028138370902,-0.0745109466799688
-0.47472832,-0.5018705,0.0433718136024924,-0.074895923968254
-0.4754107,-0.5009157,0.0420761425137893,-0.0764391295649598
-0.47417226,-0.49929684,0.0416358785971105,-0.0752188142509305
-0.4713909,-0.49947342,0.0412914630231679,-0.0718819108065051
-0.4680965,-0.5011226,0.0398943870552932,-0.073214914616126
-0.4667422,-0.5014646,0.0379730276619458,-0.0723777614931772
