patient,exercise,rep,step_index,step_name,chosen_overlay_keys,mae_Right_Shoulder,mae_Left_Shoulder,mae_Right_Elbow,mae_Left_Elbow,mae_Right_Wrist,mae_Left_Wrist
TOLFB08,PushdownPumping,1,1,PushDownPumping_S1,LElbow,0.04961666543199434,0.019161030272285218,0.041954014078776684,0.09972748468702251,0.04866559835436023,0.037416077152628624
TOLFB08,PushdownPumping,1,2,PushDownPumping_S2,RWrist,0.037695342366920744,0.04102785698363312,0.11495939531354674,0.09966245993118394,0.139337595307561,0.08766459207411584
TOLFB08,PushdownPumping,1,3,PushDownPumping_S3,LWrist,0.030936996473313005,0.038354536001585365,0.07115315980675814,0.12383014903368902,0.15356025388861794,0.20779693658067075
TOLFB08,PushdownPumping,1,4,PushDownPumping_S4,LWrist+RWrist,0.021729046442632113,0.01617766134217478,0.15474791911067076,0.10098336508409551,0.34786787100299804,0.21058594174928866
TOLFB08,PushdownPumping,1,5,PushDownPumping_S5,LWrist+RWrist,0.03000317915441769,0.047596048215336334,0.1697294737049182,0.129772286092008,0.3334873434971185,0.22812607765631526
TOLFB08,PushdownPumping,2,1,PushDownPumping_S1,RWrist,0.02282712198860163,0.03317287459991871,0.12936862167169721,0.12210167259786586,0.24671047852884653,0.15423232186356708
TOLFB08,PushdownPumping,2,2,PushDownPumping_S2,RWrist,0.01453326483064021,0.013818785796341465,0.05085714097860774,0.03738809494507113,0.13474789458180897,0.10679260718089431
TOLFB08,PushdownPumping,2,3,PushDownPumping_S3,LWrist+RWrist,0.03401765521190041,0.05047925001016261,0.17944642434334657,0.07392065044310772,0.4928834145285696,0.35033251645931907
TOLFB08,PushdownPumping,2,4,PushDownPumping_S4,LElbow+LWrist+RElbow+RWrist,0.12027444195558944,0.125760501097688,0.3745022861025914,0.35227971450678863,0.37690943682830286,0.3652518948108231
TOLFB08,PushdownPumping,2,5,PushDownPumping_S5,RWrist,0.020062123537813732,0.01564198323213242,0.09810626574317269,0.0962521633902505,0.15788760725519074,0.1349300409786873
