patient,exercise,rep,step_index,step_name,chosen_overlay_keys,mae_Right_Shoulder,mae_Left_Shoulder,mae_Right_Elbow,mae_Left_Elbow,mae_Right_Wrist,mae_Left_Wrist
TOLFB18,PushdownPumping,1,1,PushDownPumping_S1,,0.07024347785400314,0.0316075785299037,0.05775791953415915,0.07622571455889807,0.1070066395551065,0.15461650018916337
TOLFB18,PushdownPumping,1,2,PushDownPumping_S2,,0.0267052853714431,0.020462494160365843,0.06729128711880081,0.07872064327571393,0.12186617737200202,0.11952018368252032
TOLFB18,PushdownPumping,1,3,PushDownPumping_S3,,0.021884867895680896,0.016691290855335373,0.061869336650863804,0.06891040228373983,0.12430155629380081,0.10673893519166666
TOLFB18,PushdownPumping,1,4,PushDownPumping_S4,LWrist+RWrist,0.06368155444944107,0.024391027121138213,0.09129320345767275,0.16693819862261172,0.25093633906854684,0.29100201467566056
TOLFB18,PushdownPumping,1,5,PushDownPumping_S5,LWrist+RWrist,0.05646467478192771,0.02072495665396585,0.0980196479309337,0.12283516622561495,0.2755266467642671,0.23382441705371484
TOLFB18,PushdownPumping,2,1,PushDownPumping_S1,,0.013079933289278452,0.013837017802947162,0.08544372556183943,0.046970172687906514,0.17694412403800808,0.07999673908180893
TOLFB18,PushdownPumping,2,2,PushDownPumping_S2,,0.02080424260980692,0.011092833024999981,0.0344116425020325,0.06738275530630078,0.10828111366910563,0.10920507685401418
TOLFB18,PushdownPumping,2,3,PushDownPumping_S3,LWrist+RWrist,0.020564124242733725,0.03284320618307929,0.07551379880574188,0.10103099625114838,0.23861769193070123,0.3628720391138872
TOLFB18,PushdownPumping,2,4,PushDownPumping_S4,RWrist,0.02660675489344512,0.016026773794359753,0.07691041012903455,0.09018472046209348,0.2190074501528963,0.1272421820781148
TOLFB18,PushdownPumping,2,5,PushDownPumping_S5,RWrist,0.039532486548329665,0.023436732617903418,0.1291985575296586,0.062282619782702164,0.21896757440587347,0.15333361873119977
