Right_Shoulder_X,Right_Shoulder_Y,DELTOID_Affected_upper,DELTOID_Affected_lower
-0.5841101,-0.463059,0.1722670729746662,-0.3375518466937001
-0.58040255,-0.4658748,0.1702599389657519,-0.3306779281038064
-0.57884717,-0.4665356,0.1685305727037697,-0.3245942791954348
-0.58094233,-0.46676818,0.167036011408588,-0.3191691285015645
-0.5839094,-0.46672413,0.1658094733517051,-0.3145491828229209
-0.58532804,-0.4667082,0.1647874720947472,-0.3105247523902451
-0.5859232,-0.46642774,0.16398664485524,-0.3071933959249223
-0.587171,-0.46614537,0.1633587091525732,-0.3043914447010264
-0.5873284,-0.46608806,0.1629064753427182,-0.3021735634326175
-0.5875954,-0.4660056,0.1625941107104095,-0.3004158503650874
-0.58786285,-0.46583435,0.1624133529424833,-0.299136330277185
-0.5881007,-0.4657137,0.162338553426152,-0.2982569441092926
-0.5881266,-0.46543092,0.1623516657828788,-0.2977283413898034
-0.5883284,-0.4651922,0.1624330074542702,-0.2975254202185876
-0.5884096,-0.46511808,0.1625658019922483,-0.2975962417016513
-0.5885409,-0.4649621,0.1627261674636389,-0.2978946715107048
-0.58865297,-0.46490684,0.1629001496989354,-0.298386676143907
-0.5887592,-0.46493673,0.1630624215826017,-0.2990113429168228
-0.588918,-0.4648786,0.1600283561072617,-0.3024417217682206
-0.58907837,-0.46490088,0.1622369257714518,-0.2987893468346967
-0.5891943,-0.46496102,0.1602047089723039,-0.300849219819257
-0.58935404,-0.4649395,0.1584842656381943,-0.3009441072409585
-0.5894932,-0.46497196,0.1603836714236564,-0.299571815688988
-0.589626,-0.4650831,0.1587898040347412,-0.3028260140637519
-0.5896629,-0.46516874,0.1636619947072712,-0.2970575707723461
-0.58985746,-0.46525759,0.1596586140706408,-0.2996966587061626
-0.5899157,-0.4653396,0.1574793516376032,-0.2997745972917482
-0.58996874,-0.46539858,0.1577389899230868,-0.2971776353199312
-0.58982825,-0.4654442,0.1557039685365163,-0.2986192819453415
-0.589402,-0.46551445,0.1575783701043241,-0.2975071252285874
-0.5884104,-0.465599,0.1564057446940857,-0.2958678946657472
-0.5863931,-0.46586916,0.1541551201272571,-0.2980210424861257
-0.58330405,-0.4660954,0.1538316402486936,-0.2977568508609881
-0.58061945,-0.46632737,0.1559012381817308,-0.2951380279613081
-0.57975817,-0.4667338,0.1536707384267926,-0.2983785746382038
-0.57936066,-0.46697956,0.1567960308591187,-0.2965276983823261
-0.57907194,-0.46709308,0.1550501546122718,-0.298128980799733
-0.5789121,-0.46710426,0.1563913121267518,-0.2959141485655064
-0.57883877,-0.4670981,0.1526899257059102,-0.2984120094151718
-0.57881147,-0.46701548,0.1567373355905139,-0.2966811217643259
-0.5788172,-0.46697083,0.1582766903125287,-0.2976092620994784
-0.57898283,-0.46694523,0.1585126639663289,-0.2979914929396187
-0.5791567,-0.46692687,0.1590635624928056,-0.2989921039322462
-0.57940316,-0.4669149,0.161744475109425,-0.2993222486055069
-0.5796708,-0.46689042,0.1617693548666688,-0.3007903384552327
-0.5800157,-0.4668635,0.1639306090915038,-0.3026184911371561
-0.5803406,-0.4668677,0.1642463588637258,-0.3032982867420056
-0.58071584,-0.4668842,0.16204044762014,-0.304939475279342
-0.5811544,-0.46693546,0.1641789775563476,-0.3037845539575652
-0.5815616,-0.46697962,0.1664637159002599,-0.3050248116210484
-0.5819133,-0.4670368,0.1651135928083485,-0.3072095136545366
-0.5822341,-0.46705428,0.1675994788290304,-0.303379360093838
-0.5824411,-0.46713483,0.1652556031589168,-0.3049119223225761
-0.58255875,-0.46719626,0.1659253673141298,-0.3025516643703636
-0.58265203,-0.4672446,0.1654577328046954,-0.3035436872917966
-0.58270484,-0.46729526,0.1625896009685983,-0.3054047184138554
-0.58263236,-0.46732247,0.1652150119637733,-0.3011472030838019
-0.5825409,-0.4673469,0.162083961735469,-0.3021472884862042
-0.5824049,-0.46737197,0.1621810830961041,-0.3000327211359191
-0.5822138,-0.4673864,0.1607161657348458,-0.2992329687350272
-0.5817987,-0.46741408,0.1607563564648427,-0.3002646759031638
-0.581209,-0.46747223,0.1582781339471188,-0.2993022352208671
