patient,exercise,joint,mae_x,rmse_x,corr_x,mae_y,rmse_y,corr_y
TOLFB28,ClaspAndSpread,Right_Shoulder,0.016899,0.021569,0.829279,0.007641,0.009695,-0.079142
TOLFB28,ClaspAndSpread,Left_Shoulder,0.026226,0.030451,0.879049,0.00775,0.00982,-0.081666
TOLFB28,ClaspAndSpread,Right_Elbow,0.129925,0.177286,0.834996,0.07594,0.095681,0.9703
TOLFB28,ClaspAndSpread,Left_Elbow,0.101251,0.133583,0.899745,0.079818,0.106949,0.961864
TOLFB28,ClaspAndSpread,Right_Wrist,0.145136,0.194166,0.94635,0.104564,0.158522,0.96196
TOLFB28,ClaspAndSpread,Left_Wrist,0.140146,0.191294,0.930461,0.111083,0.20581,0.926861
TOLFB28,DeepBreathing,Right_Shoulder,0.018235,0.02123,0.394513,0.008474,0.010021,0.180293
TOLFB28,DeepBreathing,Left_Shoulder,0.018083,0.021707,-0.146888,0.008293,0.009824,0.166824
TOLFB28,DeepBreathing,Right_Elbow,0.035805,0.046223,0.90554,0.028684,0.033744,0.769288
TOLFB28,DeepBreathing,Left_Elbow,0.066978,0.075452,0.829605,0.030549,0.0396,0.439848
TOLFB28,DeepBreathing,Right_Wrist,0.194627,0.225487,0.857467,0.054517,0.07508,0.891854
TOLFB28,DeepBreathing,Left_Wrist,0.132046,0.174382,0.881341,0.091286,0.099599,0.749279
TOLFB28,HorizontalPumping,Right_Shoulder,0.024635,0.028438,0.307831,0.010889,0.013025,-0.109797
TOLFB28,HorizontalPumping,Left_Shoulder,0.025434,0.028486,0.484286,0.010917,0.013059,-0.122328
TOLFB28,HorizontalPumping,Right_Elbow,0.065276,0.089872,0.791148,0.107748,0.142108,0.767761
TOLFB28,HorizontalPumping,Left_Elbow,0.078255,0.099382,0.671541,0.085727,0.127902,0.767062
TOLFB28,HorizontalPumping,Right_Wrist,0.197102,0.282954,0.687925,0.157113,0.251414,0.800181
TOLFB28,HorizontalPumping,Left_Wrist,0.195262,0.319168,0.680141,0.162812,0.269608,0.81644
TOLFB28,OverheadPumping,Right_Shoulder,0.02949,0.032329,0.954632,0.011084,0.014132,-0.050699
TOLFB28,OverheadPumping,Left_Shoulder,0.018579,0.022363,0.922377,0.010851,0.013945,-0.03048
TOLFB28,OverheadPumping,Right_Elbow,0.179587,0.188048,0.910976,0.089629,0.099801,0.989518
TOLFB28,OverheadPumping,Left_Elbow,0.116658,0.135456,0.767724,0.084855,0.089552,0.99376
TOLFB28,OverheadPumping,Right_Wrist,0.307248,0.335102,0.7654,0.101945,0.121999,0.991988
TOLFB28,OverheadPumping,Left_Wrist,0.131872,0.170878,0.806358,0.062905,0.086586,0.993868
TOLFB28,PushdownPumping,Right_Shoulder,0.025034,0.031398,0.801465,0.008791,0.010466,0.327122
TOLFB28,PushdownPumping,Left_Shoulder,0.025779,0.035949,0.790731,0.008786,0.010481,0.322911
TOLFB28,PushdownPumping,Right_Elbow,0.133465,0.159561,0.820015,0.128821,0.200243,0.867297
TOLFB28,PushdownPumping,Left_Elbow,0.121535,0.153335,0.740671,0.10307,0.183142,0.886529
TOLFB28,PushdownPumping,Right_Wrist,0.355966,0.407577,0.313214,0.182396,0.383373,0.836298
TOLFB28,PushdownPumping,Left_Wrist,0.225135,0.267632,0.699639,0.17572,0.367731,0.849523
TOLFB28,ShoulderRoll,Right_Shoulder,0.037272,0.044299,0.026958,0.01501,0.017726,-0.051381
TOLFB28,ShoulderRoll,Left_Shoulder,0.030059,0.040612,0.184321,0.016411,0.018857,-0.022453
TOLFB28,ShoulderRoll,Right_Elbow,0.127186,0.164009,0.660477,0.041799,0.049417,0.86957
TOLFB28,ShoulderRoll,Left_Elbow,0.16474,0.179938,0.477647,0.044605,0.051442,0.660439
TOLFB28,ShoulderRoll,Right_Wrist,0.251539,0.351745,0.726146,0.067687,0.078576,0.937762
TOLFB28,ShoulderRoll,Left_Wrist,0.289412,0.374637,0.845766,0.056438,0.068042,0.920164
