Left_Shoulder_X,Left_Shoulder_Y,DELTOID_NonAffected_upper,DELTOID_NonAffected_lower
0.43780828,-0.49996635,0.0205116885871571,-4.957509429240511e-05
0.45156425,-0.48937196,0.0206420333091416,-4.7781152722372064e-05
0.45654887,-0.4853961,0.0207484324602639,-4.577911720476843e-05
0.46262255,-0.48320368,0.020833440274772,-4.359389424075953e-05
0.47106016,-0.4701239,0.0208972292995054,-4.131569176321525e-05
0.47343925,-0.4677908,0.0209429263722072,-3.894738352399827e-05
0.4697219,-0.47779292,0.0209714748385759,-3.658276736333552e-05
0.46875384,-0.48050994,0.0209853037035156,-3.422300587104768e-05
0.46930677,-0.4814783,0.0209859811795438,-3.196172930408862e-05
0.4689707,-0.48245627,0.0209753843707658,-2.980214658086718e-05
0.46949703,-0.48228845,0.0209802641364496,-2.757400862013928e-05
0.46958947,-0.48243782,0.0209169460694809,-3.194447377704931e-05
0.46903035,-0.48355946,0.0209202755288799,-2.8971873420831626e-05
0.4701719,-0.48465824,0.0210355601361057,-2.5170510348035128e-05
0.47184944,-0.4855082,0.0205978695669197,-2.440658108344731e-05
0.47275963,-0.48664802,0.0209233373959654,-1.901186882321779e-05
0.4735108,-0.48657382,0.020890920191789,-1.0450712508430831e-05
0.47420728,-0.4864834,0.020768476260711,-9.237466221074238e-06
0.47460353,-0.4864457,0.0206947273325325,-2.1874076382257945e-05
0.4746833,-0.48638108,0.0207917717072532,-2.2211695629456972e-05
0.47469977,-0.48629496,0.0206002698907229,-2.160324191464725e-05
0.47455186,-0.48642993,0.0207681719039469,-2.0060645702825048e-05
0.47438034,-0.4864932,0.0205418101372658,-1.4319486546037373e-05
0.47419536,-0.48667952,0.0207902152047839,-1.2904736745016493e-05
0.47414324,-0.48700243,0.020610962729643,-1.1229097536232512e-05
0.4734656,-0.48745972,0.0207489736814543,-7.139506289362304e-06
0.4730089,-0.48778674,0.0208583737947837,-3.633650947678314e-06
0.47262993,-0.4882104,0.0206733462316957,-1.4465229000191856e-05
0.47202682,-0.48819524,0.0208082630583036,-1.5553604335424377e-05
0.47152618,-0.48776516,0.0210320453735979,-1.307647843412092e-05
0.46870387,-0.48877865,0.0207293212827364,-1.4401262542502214e-05
0.46674287,-0.48942104,0.0209196498800516,-1.4763038781268674e-05
0.4640875,-0.48910236,0.0208396327532958,-1.4168971036336472e-05
0.4649105,-0.48918608,0.0209252745544643,-1.6233794557999902e-05
0.46762612,-0.48800653,0.0208807331291992,-1.5192494981942728e-05
0.46921504,-0.48659724,0.0209555917075299,-1.36259284873017e-05
0.46726277,-0.48596418,0.0208741666732167,-1.4620505722009e-05
0.46774745,-0.4853489,0.020969303732897,-1.1206202260057328e-05
0.46760044,-0.481207,0.020856938445076,-9.579222550725752e-06
0.46776554,-0.47506028,0.0209141913854681,-7.145576859289374e-06
0.46380824,-0.47804478,0.021039802526932,3.5740409513678164e-06
0.4607502,-0.47994348,0.0207657933540081,-4.176814617579009e-06
0.45539537,-0.48496303,0.0209509109634744,-8.131978599804687e-06
0.45301718,-0.48616967,0.0208838783102724,-1.0540817693189652e-05
0.4555828,-0.486197,0.0210601397561386,-1.43309976902691e-05
0.4559824,-0.48557734,0.0208360435852826,-1.6134020902525138e-05
0.45944506,-0.48583087,0.0210144229143765,-1.247629187437123e-05
0.4600752,-0.48442098,0.02097901701518,-1.4500566423784634e-05
0.45449808,-0.48377094,0.0211294736175903,-1.6044787985663835e-05
0.4469833,-0.4826195,0.0209677291649959,-2.195912644785983e-05
0.4464368,-0.48256186,0.020985077070702,-2.3349556284663457e-05
0.44755337,-0.4824265,0.0208637932449739,-2.3731487948474683e-05
0.4537473,-0.47413814,0.021023637667454,-2.3112484442537295e-05
0.45845333,-0.47300723,0.0208867468053034,-1.9926885019763165e-05
0.46866465,-0.47403753,0.0208221700700305,-1.5025584464762332e-05
0.47281176,-0.47462064,0.0209175840681696,-6.444789807548962e-06
0.48040062,-0.47576383,0.0207771567472798,-9.362660909025816e-06
0.46228445,-0.48284748,0.0208307269917545,-9.237328096812856e-06
0.43624076,-0.48241797,0.0207639090535158,-1.2217420700308812e-05
